keyword,title,author,publisher,pub_year,type,call_no,isbn
경기도박물관,경기도 박물관 : 경기도의 옛 모습을 상상해 보아요,글: 경기도박물관 ;그림: 정다이,김영사,2008,도서,아373-7-23-24,9788934924593 9788934930457
경기도박물관,경기도 박물관 : 경기도의 옛 모습을 상상해 보아요,정다이 경기도박물관,"파주 : 김영사, 2008",2008,도서,,9788934924593(세트)
경기도박물관,경기도박물관 명품선,경기도박물관,"용인 : 경기도박물관, 200409",200409,복합기록물,,
야닉 시너,"최고 인기 선수로 거듭난 새로운 리더, 야닉 시너",,스포츠코리아,2024,기사,695.505-스243ㅌ,
파이널 데스티네이션,파이널 데스티네이션,directed by James Wong,워너브러더스 엔터테인먼트 [공급] : 해리슨 앤 컴퍼니 [판매],2011,영상자료,PE688.24-N12-42,
파이널 데스티네이션,파이널 데스티네이션. 2,directed by David R. Ellis,워너브러더스 엔터테인먼트 [공급] : 해리슨 앤 컴퍼니 [판매],2011,영상자료,PE688.24-N12-43-2,
파이널 데스티네이션,파이널 데스티네이션 4,David R. Ellis [감독],워너브러더스 엔터테인먼트 [공급] : 프리지엠 [판매],2010,영상자료,PD688.25-3751,
오타니 쇼헤이,오타니 쇼헤이,"author: Sunsoo editors,Sonn Yun,Han Seunghoon",BS(브레인스토어),2023,도서,695.7099-23-1,9791169780087
오타니 쇼헤이,오타니 쇼헤이,"author: Sunsoo Editors,Sonn Yun,Han Seunghoon ;photo: Getty Images",Brainstore(브레인스토어),2024,도서,695.7099-24-3,9791169780254
오타니 쇼헤이,who? 오타니 쇼헤이,글: 스토리랩 ;그림: 리버앤드스타 스튜디오,다산어린이 : 다산북스,2025,도서,아998.6-25-4,9791130632650 9791130666006
대전 날씨,E-날씨유(you) : 대전지방기상청 웹진. Vol. 19. 봄호,대전지방기상청 [편],"대전 : 대전지방기상청, 20200529",20200529,잡지/학술지,,
대전 날씨,E-날씨유(you) : 대전지방기상청 웹진. Vol. 18. 겨울호,대전지방기상청 [편],"대전 : 대전지방기상청, 20200227",20200227,잡지/학술지,,
대전 날씨,E-날씨유(you) : 대전지방기상청 웹진. Vol. 16. 여름호,대전지방기상청 [편],"대전 : 대전지방기상청, 20190830",20190830,잡지/학술지,,
nba 플레이오프,"NBA 플레이오프 1-2라운드 : 디펜딩 챔피언이 떨어졌다. 남은 플레이오프에서 우리는 르브론도, AD도 볼 수 없다.",,페이퍼센트,2021,기사,695.105-더515,
nba 플레이오프,"NBA INSIDE : NBA 플레이오프 덮친 부상 악령, 슈퍼스타 대거 이탈",,J&J미디어,2023,기사,695.105-아392ㅈ,
nba 플레이오프,WNBA 플레이오프 결산,,페이퍼센트,2019,기사,695.105-더515,
세종대왕 탄신일,世宗大王 誕辰日 : 463週年을 記念하자,,馬山日報社,19590515,신문,,
세종대왕 탄신일,"社說, 세종대왕 탄신일과 기념사업회의 발족",,"서울 : 平和新聞社, 19570515-",19570515,신문,,
세종대왕 탄신일,(2019 세종탄신일) 한글이 스승이다 : 제 622돌 세종대왕 탄신일 기념 문화행사,국립한글박물관 [편],국립한글박물관,2019,영상자료,LC711.2-N19-1,
