검색키워드,도서명,저자,출판사,발행년도,자료유형,청구기호,ISBN,소장도서관위치,소장도서관명
G7,2023년 일본 G7 정상회의 : G7의 블록화와 국제질서에의 함의,강선주,국립외교원 외교안보연구소,2023,도서,GP322.81-23-3,,서고자료대출반납(3층),본관
G7,2021년 G7 정상회의 : 포스트-코로나 국제질서에의 함의와 전망,강선주,국립외교원 외교안보연구소,2021,도서,GP322.81-21-3,,서고자료대출반납(3층),본관
G7,미일관계,,新韓民報社,19410508,신문,,,디지털도서관 디지털자료실,디지털도서관
G7,米日關係,,大韓每日申報社,19080514,신문,,,디지털도서관 디지털자료실,디지털도서관
G7,보호무역주의 = Protectionism,이대운,"서울 : 한국자동차공학회, 20120901",20120901,기사,,,디지털도서관 디지털자료실,디지털도서관
G7,보호무역주의 확산에 따른 농식품 통상분쟁 실태와 정책과제,"연구책임자: 김상현 ;연구참여자: 조성주,오새라,박수연",한국농촌경제연구원,2019,도서,522.1-20-5,9791161493213,서고자료대출반납(4층),본관
광장,광장 : 정계개편의 정치학,손호철,"서울 : 심경문화재단 철학문화연구소, 19980901",19980901,기사,,,디지털도서관 디지털자료실,디지털도서관
광장,사변과 경험의 사이에서-광장의 촛불과 메시아주의 정치학,김무엽,부산민족예술인총연합,2017,기사,605-부638ㅇ,,연속간행물실(서고),본관
광장,도시 공공공간의 유니버설 디자인 이미지 적용 모델 사례집,"연구진: 박훈,이호창,김정현,김대현,권수안,장태혁,최장민,도현용,문상원,권우상,김연지,정선교,김동학",한국장애인연맹강원PDI,2021,도서,539.7-21-179,,서고자료대출반납(4층),본관
광장,공공공간을 위하여 : 어떻게 우리의 공적 공간을 회복·지속·확장할 것인가,"기획: 서울대학교 SSK동아시아도시연구단 ;글쓴이: 김동완,김현철,한윤애,김동일,지주형,김경만,황진태",동녘,2017,도서,331.47-17-24,9788972978817,서고자료대출반납(4층),본관
광장,기억의 공간 : 문화적 기억의 형식과 변천,"Assmann, Aleida 지음 변학수 옮김 채연숙 옮김","서울 : 그린비출판사, 20110425",20110425,도서,,9788976823601,디지털도서관 디지털자료실,디지털도서관
광장,기억의 공간 : 문화적 기억의 형식과 변천,"알라이다 아스만 지음 ;변학수,채연숙 옮김",그린비출판사,2011,도서,331.5-11-28,9788976823601,서고자료대출반납(4층),본관
김건희,김건희,,詩와反詩社,2022,기사,805-시448ㅅ,,연속간행물실(서고),본관
김건희,특검,이강헌 지음,굿보이스,2018,도서,235.2-18-70,9791188266098,서고자료대출반납(4층),본관
