rank,keyword,score
1,교직원공제회,66.0
2,국립생태원,65.6
3,국민은행,65.2
4,삼성전자 주가,65.2
5,신한은행,64.8
6,삼성증권,64.4
7,코레일,64.0
8,잡코리아,63.6
9,기업은행,62.8
10,부산은행,62.4
11,선거 결과,60.8
12,트렌드,60.0
13,이재명,59.6
14,이재명 25만원,59.6
15,21대 대선 투표율,59.6
16,강훈식,59.2
17,lee jae myung,59.2
18,대선결과,58.4
19,이재명 재판,58.4
20,취임식,58.0
21,카리나 2 번 옷,58.0
22,tổng thống hàn quốc,58.0
23,pass 모바일 신분증 투표,58.0
24,위성락,57.2
25,민방위,56.8
26,이종석,56.0
27,선거비용 보전 득표율,56.0
28,닌텐도 스위치 2,56.0
29,이재명 부동산 정책,56.0
30,22대 대통령 선거일,56.0
31,이재명 아들 사진,56.0
32,코스피,54.8
33,카톡 검열,54.8
34,이한주,54.4
35,cnn,54.0
36,지역별 투표율,54.0
37,6월 모의고사,54.0
38,이재명 부인,54.0
39,출구조사 뜻,54.0
40,이재명 테마주,54.0
41,다니엘 헤니,54.0
42,김혜경 여사,54.0
43,카를로스 알카라스,54.0
44,이재명 공략,54.0
45,이재명 부정선거,54.0
46,개표 순서,54.0
47,ipl 2025,54.0
48,권영국 득표율,54.0
49,좌파 우파,54.0
50,김문수 자택,54.0
51,윤석열 투표,54.0
52,kbo 리그,54.0
53,홍진경 인스타,54.0
54,이가 시비옹테크,54.0
55,ytn 실시간,54.0
56,김문수 논란,54.0
57,현재 득표율,54.0
58,환율 달러,54.0
59,이재명 범죄,54.0
60,이준석 논란,54.0
61,roland garros,54.0
62,투표 점심시간,54.0
63,jonathan joss,54.0
64,김문수 전광훈,54.0
65,온라인 투표,54.0
66,여론조사 꽃,54.0
67,2025 韓國總統大選,54.0
68,이재명 지지율,54.0
69,노란봉투법,53.6
70,권성동,53.2
71,예비군,52.4
72,안규백,52.0
73,조희대,52.0
74,코나아이,52.0
75,현충일,52.0
76,정청래,52.0
77,홍준표,52.0
78,부정선거,52.0
79,bbc,52.0
80,윤호중,52.0
81,송진호,52.0
82,조갑제,52.0
83,전한길,52.0
84,정규재,52.0
85,오창석,52.0
86,이재포,52.0
87,김경수,52.0
88,조국,52.0
89,전라도,52.0
90,좌파,52.0
91,스우파,52.0
92,박근혜,52.0
93,전두환,52.0
94,줄리엔강,52.0
95,유승민,52.0
96,jtbc,52.0
97,정은경,52.0
98,홍원빈,52.0
99,광주,52.0
100,오세훈,52.0
101,차별금지법,52.0
102,중국,52.0
103,연임제,52.0
104,동탄,52.0
105,이민,52.0
106,kbs,52.0
107,계엄,52.0
108,딴지일보,52.0
109,박해미,52.0
110,nhk,52.0
111,베네수엘라,52.0
112,李在明,52.0
113,김수현,52.0
114,김상욱,52.0
115,노태악,52.0
116,이인제,52.0
117,여당,52.0
118,김병주,52.0
119,박주민,52.0
120,dc,52.0
121,오마이뉴스,52.0
122,노태우,52.0
123,부울경,52.0
124,감보아,52.0
125,한덕수,52.0
126,경기도지사,52.0
127,네이션스리그,52.0
128,대전,52.0
129,정가은,52.0
130,박성민,52.0
131,매일경제,52.0
132,한국,52.0
133,쿠에바스,52.0
134,유권자,52.0
135,byd,52.0
136,경향신문,52.0
137,클럽월드컵,52.0
138,영화,52.0
139,청주,52.0
140,박지후,52.0
141,video,52.0
142,강남3구,52.0
143,비티냐,52.0
144,김호령,52.0
145,고현정,52.0
146,경남,52.0
147,황교안,52.0
148,국회의원,52.0
149,기본소득,52.0
150,원빈,52.0
151,wavve,52.0
152,부산,52.0
153,유재석,52.0
154,비비,52.0
155,여론조사,52.0
156,오주원,52.0
157,la다저스,52.0
158,맘스터치,52.0
159,west indies vs england,41.6
160,kia 대 두산,40.4
161,kt 대 한화,40.4
162,키움 대 롯데,40.4
163,삼성 대 ssg,40.4
164,lg 대 nc,40.4
165,rcb vs pbks,40.4
