rank,keyword,final_score
1,경기도박물관,1.0
2,bbq 5 월 16 일,0.8599999999999999
3,손흥민 협박녀,0.74
4,야닉 시너,0.74
5,unh stock,0.74
6,파이널 데스티네이션,0.74
7,유심 재설정,0.74
8,오타니 쇼헤이,0.74
9,대전 날씨,0.74
10,황정음 코인,0.74
11,유나이티드헬스 주가,0.74
12,nba 플레이오프,0.74
13,cuaca besok,0.74
14,세종대왕 탄신일,0.74
15,미션임파서블 파이널레코닝,0.74
16,스텔라 블레이드,0.74
17,마그나 카르타,0.74
18,아이유 뷔,0.74
19,삼양식품 주가,0.74
20,펜타포트 2025,0.74
21,la liga,0.74
22,이세계 페스티벌,0.74
23,울산날씨,0.7
24,xrp,0.7
25,빗썸,0.7
26,13f,0.7
27,두산베어스,0.7
28,비비,0.7
29,햄버거,0.7
30,리플,0.7
31,에버랜드,0.7
32,커즈,0.7
33,관세청,0.7
34,청년내일저축계좌,0.7
35,파월,0.7
36,임종성,0.7
37,위버스,0.7
38,하지원,0.7
39,임찬규,0.7
40,엔카,0.7
41,최예나,0.7
42,바이낸스,0.7
43,프림퐁,0.7
44,이환,0.7
45,정호영,0.7
46,나균안,0.7
47,진,0.7
48,부승찬,0.7
49,함창건,0.7
50,스페인,0.7
